n,ms,bfs mean,dfs mean
2,100.0,0.3,0.3
3,100.0,0.644,0.6893333333333332
4,100.0,1.3906666666666667,1.244
5,100.0,2.828,1.9386666666666668
6,100.0,4.618666666666666,2.724
7,100.0,7.162666666666667,3.9493333333333323
8,100.0,12.432,5.586666666666667
9,100.0,17.917333333333335,6.676000000000001
10,100.0,27.025333333333332,9.144
